"proponente_id","data_solicitacao","cpf_cnpj","nome_razao_social","tipo_pessoa","renda_bruta_anual_declarada","valor_solicitado_credito","finalidade_credito","localizacao_propriedade","area_total_hectares","cultura_principal","possui_experiencia_atividade","anos_experiencia","fontes_dados_adicionais","metadata_evento","ingestion_timestamp"
PROP_06459,1751381,"743.399.806-22",Produtor Rural Exemplo PROP_06459,FISICA,921632.22,299131.15,AMPLIACAO_AREA,"{latitude=-25.0397, longitude=-45.294174, municipio=Municipio Exemplo 45, uf=PB}",1226.15,MILHO,false,0,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-721890}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751381}",2025-07-01 11:56:36.012 -0300
PROP_04005,1751382,"50.930.794/6334-74",Produtor Rural Exemplo PROP_04005,JURIDICA,465859.61,347177.44,AMPLIACAO_AREA,"{latitude=-10.457227, longitude=-52.680728, municipio=Municipio Exemplo 90, uf=SE}",1257.86,MILHO,false,0,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-443529}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:15:17.036 -0300
PROP_07045,1751381,"98.098.725/2627-95",Produtor Rural Exemplo PROP_07045,JURIDICA,679463.49,148459.23,CUSTEIO_SAFRA,"{latitude=-29.141326, longitude=-65.366272, municipio=Municipio Exemplo 59, uf=PA}",1555.4,TRIGO,false,0,"{serasa_score=null, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-215839}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751381}",2025-07-01 11:53:12.558 -0300
PROP_06172,1751382,"49.582.301/3864-57",Produtor Rural Exemplo PROP_06172,JURIDICA,530814.22,145125.08,OUTROS,"{latitude=-26.355348, longitude=-72.479217, municipio=Municipio Exemplo 22, uf=RR}",1692.65,TRIGO,true,15,"{serasa_score=628, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-886312}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:15:24.544 -0300
PROP_00496,1751382,"21.730.074/6015-76",Produtor Rural Exemplo PROP_00496,JURIDICA,605896.56,193896.3,CUSTEIO_SAFRA,"{latitude=-19.023113, longitude=-37.563639, municipio=Municipio Exemplo 5, uf=SP}",453.98,CAFE,true,11,"{serasa_score=null, ibama_autuacoes_ativas=null, numero_matricula_imovel=MAT-365584}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:15:29.920 -0300
PROP_07838,1751381,"87.417.817/4990-15",Produtor Rural Exemplo PROP_07838,JURIDICA,826333.38,440941.21,INVESTIMENTO_MAQUINARIO,"{latitude=-33.737313, longitude=-41.012399, municipio=Municipio Exemplo 55, uf=AL}",406.84,TRIGO,true,10,"{serasa_score=622, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-988446}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751381}",2025-07-01 11:53:24.460 -0300
PROP_04307,1751381,"37.390.945/0586-65",Produtor Rural Exemplo PROP_04307,JURIDICA,803806.13,429259.04,CUSTEIO_SAFRA,"{latitude=-24.273708, longitude=-45.753447, municipio=Municipio Exemplo 21, uf=PA}",306.41,CAFE,false,0,"{serasa_score=null, ibama_autuacoes_ativas=true, numero_matricula_imovel=MAT-153108}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751381}",2025-07-01 11:53:56.996 -0300
PROP_02519,1751382,"31.591.260/0847-23",Produtor Rural Exemplo PROP_02519,JURIDICA,416113.84,283369.29,CUSTEIO_SAFRA,"{latitude=-1.974005, longitude=-55.686487, municipio=Municipio Exemplo 64, uf=RJ}",930.47,MILHO,true,29,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-752393}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:15:39.847 -0300
PROP_07280,1751382,"89.391.016/5899-46",Produtor Rural Exemplo PROP_07280,JURIDICA,862827.83,354649.77,INVESTIMENTO_MAQUINARIO,"{latitude=4.394408, longitude=-61.472675, municipio=Municipio Exemplo 3, uf=SP}",1027.14,ALGODAO,true,1,"{serasa_score=685, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-250513}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:15:04.972 -0300
PROP_03327,1751382,"38.697.054/0110-62",Produtor Rural Exemplo PROP_03327,JURIDICA,457078.88,67454.07,INVESTIMENTO_MAQUINARIO,"{latitude=-16.766517, longitude=-65.220971, municipio=Municipio Exemplo 37, uf=PI}",1962.09,CAFE,true,26,"{serasa_score=null, ibama_autuacoes_ativas=false, numero_matricula_imovel=MAT-157081}","{versao_schema=1.0.0, origem_dados=simulador_onboarding_digital, timestamp_geracao_evento=1751382}",2025-07-01 12:04:03.266 -0300
